Kodea;Izena;Kokalekua;Helbidea;Postakodea;Herria;Probintzia;Kategoria;Edukiera
PSS00023;JAIZKIBEL;Akartegi | Diseminado;Akartegi 26;20280;Hondarribia;Gipuzkoa;T;324
PSS00017;FARO DE HIGUER;Portua;Higer Bidea 58;20280;Hondarribia;Gipuzkoa;T;416
PSS00006;CAMPING BUNGALOWS IGUELDO SAN SEBASTIAN;Igeldo | Diseminado;Padre Orkolaga Ibibidea 69;20008;Donostia / San Sebastián;Gipuzkoa;P;901
PSS00022;Area Autocaravanas Igueldo San Sebastian;Igeldo | Diseminado;Paseo Padre Orkolaga, 69;20008;Donostia / San Sebastián;Gipuzkoa;S;0
PSS00020;IGARA DE SAN SEBASTIAN;Donostia / San Sebastián;Igara Bidea 195;20018;Donostia / San Sebastián;Gipuzkoa;P;460
PSS00015;ITXASPE;Itziar;Itsaspe Auzoa, 16;20829;Deba;Gipuzkoa;P;483
PSS00001;OLIDEN;Arragua | Diseminado;N-1 Errepidea, 2;20180;Mendexa;Gipuzkoa;S;235
PSS00005;PLAYA DE ORIO;null;Hondartza Bidea z.g.;20810;Orio;Gipuzkoa;P;764
PSS00013;SANTA ELENA;Galdona | Diseminado;Galdona, 4;20830;Mutriku;Gipuzkoa;T;120
PSS00009;AITZETA;null;Laranga Auzoa 35;20830;Mutriku;Gipuzkoa;T;271
PSS00010;SATURRARAN;Mijoa | Diseminado;Mijoa, 27;20830;Mutriku;Gipuzkoa;T;100
PSS00012;GALDONA;Galdona | Diseminado;Galdona, 17;20830;Mutriku;Gipuzkoa;T;120
PSS00011;TALAI MENDI;Zarautz;Talaimendi Auzoa 720;20800;Zarautz;Gipuzkoa;S;900
PSS00002;GRAN CAMPING ZARAUZ;Zarautz | Diseminado;Talaimendi Auzoa 725;20800;Zarautz;Gipuzkoa;S;1400
PSS00016;ZINGIRA;Olaskoegia | Diseminado;Olaskoegia Auzoa 40;20809;Aia;Gipuzkoa;S;500
PSS00018;LAKIOLA;Legazpi;Urtatza-Egialdea Auzoa 18;20230;Legazpi;Gipuzkoa;T;20
PSS00021;ZUMAIA;Zumaia;Basusta Bidea 16;20750;Zumaia;Gipuzkoa;P;497
